number_of_orders,no_of_products,total_sales,gmv,avg_daily_sales,aprox_exist_inventory,is_rental,shop_size,business_age(year),electricity_bill,rent_amount,shop_type,using_pos,credit_score
101 to 200,101 to 200,"305,648",200001 to 500000,3001 to 6000,Less than 100k,Rented,Less than 136,4 to 8,2000 - 5000,20000 to 25000,General Store,No,2.9
1 to 50,51 to 100,"226,111",1 to 200000,6001 to 9000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,25000+,General Store,No,3.1
101 to 200,1 to 50,"107,579",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Super Store,No,4
51 to 100,1 to 50,"116,729",1 to 200000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,4.7
51 to 100,101 to 200,"352,668",200001 to 500000,3001 to 6000,100k - 300k,Owned,545+,4 to 8,More than 5000,0,Kiryana,No,4.6
51 to 100,51 to 100,"195,884",1 to 200000,3001 to 6000,Less than 100k,Owned,545+,4 to 8,More than 5000,0,General Store,No,4
1 to 50,401 to 500,"785,732",500001 to 1000000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,2000 - 5000,0,General Store,No,4.3
1 to 50,1 to 50,"88,878",1 to 200000,12001 to 20000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,General Store,No,4.7
1 to 50,201 to 300,"1,404,474",1000001 to 2000000,12001 to 20000,100k - 300k,Rented,Less than 136,4 to 8,More than 5000,15001 to 20000,Kiryana,No,5.2
1 to 50,201 to 300,"321,782",200001 to 500000,3001 to 6000,100k - 300k,Owned,545+,4 to 8,More than 5000,0,Kiryana,No,4.6
1 to 50,301 to 400,"721,789",500001 to 1000000,9001 to 12000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,Super Store,No,5.5
51 to 100,101 to 200,"942,935",500001 to 1000000,6001 to 9000,100k - 300k,Owned,545+,4 to 8,More than 5000,0,Kiryana,No,5.3
1 to 50,51 to 100,"166,438",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,3.8
51 to 100,51 to 100,"187,894",1 to 200000,6001 to 9000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,5001 to 10000,Kiryana,No,3.7
1 to 50,1 to 50,"42,656",1 to 200000,1 to 3000,100k - 300k,Rented,Less than 136,4 to 8,More than 5000,15001 to 20000,General Store,No,2.7
1 to 50,1 to 50,"78,870",1 to 200000,9001 to 12000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,General Store,No,4.1
1 to 50,51 to 100,"121,620",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,3.7
1 to 50,201 to 300,"261,471",200001 to 500000,3001 to 6000,100k - 300k,Owned,545+,4 to 8,2000 - 5000,0,Kiryana,No,4.5
1 to 50,51 to 100,"334,337",200001 to 500000,6001 to 9000,100k - 300k,Owned,272 - 408,4 to 8,2000 - 5000,0,Kiryana,No,4.4
1 to 50,201 to 300,"720,321",500001 to 1000000,6001 to 9000,Less than 100k,Rented,Less than 136,4 to 8,More than 5000,15001 to 20000,General Store,No,3.8
1 to 50,1 to 50,"35,947",1 to 200000,6001 to 9000, , , , , , , ,No,1.1
1 to 50,1 to 50,"3,843",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,4 to 8,More than 5000,15001 to 20000,Kiryana,No,2.9
1 to 50,1 to 50,"27,611",1 to 200000,9001 to 12000,100k - 300k,Rented,272 - 408,4 to 8,More than 5000,5001 to 10000,General Store,No,3.8
1 to 50,1 to 50,"25,384",1 to 200000,6001 to 9000,100k - 300k,Owned,409 - 544,4 to 8,2000 - 5000,0,Kiryana,No,4.2
1 to 50,1 to 50,"102,078",1 to 200000,6001 to 9000,100k - 300k ,Owned,272 - 408,4 to 8,More than 5000,0,General Store,No,3.5
51 to 100,1 to 50,"142,341",1 to 200000,3001 to 6000,100k - 300k,Owned,545+,4 to 8,More than 5000,0,Super Store,No,4.3
